,成交套数,成交面积,成交面积,成交面积,成交面积
,成交套数,住宅,办公楼,商业营业用房,其它
1994,2821,105900,,,
1995,4176,197000,,,
1996,4689,250900,,,
1997,9180,876800,239500,149500,358199
1998,24501,1975600,214899,182800,779000
1999,44234,3366900,376300,146100,1219099
2000,96348,6482300,394799,216500,691599
2001,164598,10314800,569900,572400,2767200
2002,204239,13416000,657000,918000,2914000
2003,263297,18075700,1051400,1142800,2792900
2004,303291,22222399,1171200,1213900,2659500
2005,189896,16082000,881000,780000,1971999
2006,184194,13752200,673500,465300,2177099
2007,213733,17150500,497299,363400,1914699
2008,142224,11071700,406100,420400,2235900
2009,312857,24905800,481900,435900,2270899
2010,202511,15222100,683100,706100,3057299
2011,146151,10587100,628700,512100,2258800
2012,157585,11361700,573400,467100,2065499
2013,291176,22280200,655900,471800,2349099
2014,177083,13241800,526100,409000,1684500
2015,303414,23513000,522700,416200,2026399
2016,347667,22254200,4508900,2610400,2824500
2017,179385,12641300,807500,602600,1583899
2018,175061,12290100,774500,584700,1841899
2019,242254,17331500,696500,541900,1719399
2020,303244,22462300,694000,488300,1309699
