项目,2014年一季度,2014年上半年,2014年前三季度,2014年
一、税收收入合计,34424048,67762286,95369989,120839512
国内增值税,8204986,14252667,20244628,26542904
国内消费税,2783629,4434718,6236566,7757683
海关代征进口环节增值税和消费税,6679069,14053956,21535769,28760088
营业税,3402225,5862480,8210268,10017649
企业所得税,6419598,16419379,21294010,24600638
个人所得税,3177813,5693393,8032447,10215165
城镇土地使用税,57811,214154,238721,346894
固定资产投资方向调节税,225,225,225,225
城市维护建设税,631714,1069009,1515775,1828525
证券交易印花税,526277,980924,1797989,3234549
其他印花税,191822,344635,509489,613293
土地增值税,1160252,1907790,2393473,2661844
房产税,238181,681179,738217,999503
车船税,47760,97387,144879,190465
车辆购置税,196806,381202,598102,777928
资源税,1305,1970,3239,4064
契税,641439,1281497,1744766,2143257
耕地占用税,63136,85721,131426,144838
二、出口退税,-2600780,-4788234,-7098312,-8812364
