,常住人口,人口密度,户籍人口总户数,户籍人口,户籍人口,户籍人口,户籍人口期望寿命,户籍人口期望寿命,户籍人口期望寿命
,常住人口,人口密度,户籍人口总户数,户籍人口,男,女,户籍人口期望寿命,男,女
1979,11370000,1838,2967100,11321400,5604000,5717400,73.14,70.64,75.48
1980,11520000,1862,3038700,11465200,5693000,5772200,73.33,71.25,75.36
1981,11680000,1888,3145600,11628400,5787600,5840800,73.38,71.28,75.47
1982,11860000,1917,3217100,11805100,5888200,5916900,74.04,71.77,76.25
1983,12010000,1942,3306000,11940100,5966700,5973400,73.23,71.15,75.26
1984,12170000,1968,3407800,12047800,6025900,6021900,73.9,71.73,76.17
1985,12330000,1993,3517200,12166900,6097000,6069900,74.27,72.14,76.37
1986,12490000,1970,3649200,12323300,6188800,6134500,74.71,72.54,76.85
1987,12650000,1995,3801900,12495100,6287800,6207300,74.46,72.32,76.6
1988,12880000,2031,3949500,12624200,6358200,6266000,74.63,72.5,76.77
1989,13110000,2067,4068200,12764500,6435100,6329400,74.98,72.85,77.12
1990,13340000,2104,4152800,12833500,6471300,6362200,75.46,73.16,77.74
1991,13500000,2128,4258400,12872000,6490300,6381700,75.79,73.58,77.95
1992,13650000,2154,4316700,12893700,6499700,6394000,75.97,74.04,77.91
1993,13810000,2179,4386900,12947400,6529200,6418200,75.97,74.04,77.91
1994,13980000,2204,4443800,12988100,6551400,6436700,76.26,74.29,78.23
1995,14140000,2230,4507600,13013700,6564800,6448900,76.03,74.11,77.97
1996,14510000,2288,4574900,13044300,6578600,6465700,76.11,74.07,78.21
1997,14890000,2348,4614000,13054600,6579300,6475300,77.2,75.18,79.21
1998,15270000,2409,4657200,13065800,6582200,6483600,77.03,75.06,79.02
1999,15670000,2472,4701100,13131200,6611900,6519300,78.44,76.38,80.53
2000,16086000,2537,4757300,13216300,6655100,6561200,78.77,76.71,80.81
2001,16683300,2631,4789200,13271400,6683200,6588200,79.66,77.47,81.83
2002,17129700,2702,4817700,13342300,6720500,6621800,79.52,77.36,81.63
2003,17658400,2785,4860600,13417700,6754700,6663000,79.8,77.78,81.81
2004,18349800,2894,4905800,13523900,6803800,6720100,80.29,78.08,82.48
2005,18902600,2981,4966900,13602600,6835100,6767500,80.13,77.89,82.36
2006,19641100,3098,4995400,13680800,6866600,6814200,80.97,78.64,83.29
2007,20635800,3255,5032900,13788600,6910800,6877800,81.08,78.87,83.29
2008,21406500,3376,5066400,13910400,6955700,6954700,81.28,79.06,83.5
2009,22102800,3486,5097900,14007000,6992500,7014500,81.73,79.42,84.06
2010,23026600,3632,5192700,14123200,7035700,7087500,82.13,79.82,84.44
2011,23555300,3702,5220100,14193600,7063700,7129900,82.51,80.23,84.8
2012,23985000,3754,5243100,14269300,7096200,7173100,82.41,80.18,84.67
2013,24484300,3809,5275200,14323400,7119300,7204100,82.47,80.19,84.79
2014,24670600,3826,5325500,14386900,7147100,7239900,82.29,80.04,84.59
2015,24575900,3809,5367600,14429700,7163700,7266000,82.75,80.47,85.09
2016,24673700,3816,5416200,14500000,7193500,7306500,83.18,80.83,85.61
2017,24662800,3814,5461300,14551300,7212900,7338400,83.37,80.98,85.85
2018,24753900,,5519500,14623800,7241400,7382300,83.63,81.25,86.08
2019,24813400,,5562300,14693000,7267500,7425500,83.66,81.27,86.14
2020,24883600,,5609600,14756300,7290400,7466000,83.67,81.24,86.2
