,社会融资规模存量 AFRE(stock),人民币贷款 RMB loans,外币贷款（折合人民币） Foreign currency-denominated loans (RMB equivalent),委托贷款 Entrusted loans,信托贷款 Trust loans,未贴现银行承兑汇票 Undiscounted bankers' acceptances,企业债券 Net financing of corporate bonds,政府债券 Government bonds,非金融企业境内股票 Equity financing on the domestic stock market by non-financial enterprises,存款类金融机构资产支持证券 Asset-backed securities of depository financial institutions,贷款核销 Loans written off
2020-01-31,256339999999999.97,155060000000000.0,2130000000000.0,11450000000000.0,7490000000000.0,3470000000000.0,23930000000000.0,38490000000000.0,7420000000000.0,1730000000000.0,4080000000000.0
2020-02-29,257170000000000.03,155780000000000.0,2200000000000.0,11410000000000.0,7430000000000.0,3080000000000.0,24270000000000.0,38670000000000.0,7460000000000.0,1680000000000.0,4110000000000.0005
2020-03-31,262269999999999.97,158820000000000.0,2340000000000.0,11350000000000.0,7430000000000.0,3360000000000.0,25210000000000.0,39310000000000.0,7480000000000.0,1660000000000.0,4219999999999.9995
2020-04-30,265220000000000.03,160450000000000.0,2420000000000.0,11300000000000.0,7430000000000.0,3410000000000.0,26070000000000.0,39640000000000.0,7510000000000.0,1640000000000.0,4269999999999.9995
2020-05-31,268380000000000.0,162000000000000.0,2490000000000.0,11270000000000.0,7400000000000.0,3500000000000.0,26380000000000.0,40780000000000.0,7550000000000.0,1630000000000.0,4309999999999.9995
2020-06-30,271779999999999.97,163900000000000.0,2490000000000.0,11220000000000.0,7320000000000.0,3720000000000.0,26780000000000.0,41520000000000.0,7600000000000.0,1630000000000.0,4510000000000.0
2020-07-31,273329999999999.97,164920000000000.0,2410000000000.0,11210000000000.0,7180000000000.0,3600000000000.0,26980000000000.0,42070000000000.0,7720000000000.0,1550000000000.0,4590000000000.0
2020-08-31,276730000000000.03,166340000000000.0,2400000000000.0,11160000000000.0,7150000000000.0,3750000000000.0,27280000000000.0,43450000000000.0,7850000000000.0,1590000000000.0,4650000000000.0
2020-09-30,280050000000000.0,168260000000000.0,2350000000000.0,11130000000000.0,7030000000000.0,3900000000000.0,27370000000000.0,44460000000000.0,7970000000000.0,1630000000000.0,4830000000000.0
2020-10-31,281250000000000.0,168920000000000.0,2310000000000.0,11120000000000.0,6940000000000.0,3790000000000.0,27510000000000.0,44950000000000.0,8060000000000.001,1650000000000.0,4880000000000.0
2020-11-30,283250000000000.0,170450000000000.0,2210000000000.0,11110000000000.0,6810000000000.0,3730000000000.0,27590000000000.0,45350000000000.0,8140000000000.001,1780000000000.0,4950000000000.0
2020-12-31,284750000000000.0,171600000000000.0,2100000000000.0,11060000000000.0,6340000000000.0,3510000000000.0,27550000000000.0,46050000000000.0,8250000000000.0,1890000000000.0,5290000000000.0
