项目 Item,一、各项存款 Total Deposits,（一）境内存款 Domestic Deposits,1.住户存款 Deposits of Households,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,2.非金融企业存款 Deposits of Non-financial Enterprises,（1）活期存款 Demand Deposits,（2）定期及其他存款 Time & Other Deposits,3.机关团体存款 Deposits of Government Departments & Organizations,4.财政性存款 Fiscal Deposits,5.非银行业金融机构存款 Deposits of Non-banking Financial Institutions,（二）境外存款 Overseas Deposits,二、金融债券 Financial Bonds,三、对国际金融机构负债 Liabilities to International Financial Institutions,四、其他 Other Items,资金来源总计 Total Funds Sources,一、各项贷款 Total Loans,（一）境内贷款 Domestic Loans,1.住户贷款 Loans to Households,（1）短期贷款 Short-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,（2）中长期贷款 Mid & Long-term Loans,消费贷款 Consumption Loans,经营贷款 Operating Loans,2.企（事）业单位贷款 Loans to Non-financial Enterprises and Government Departments & Organizations,（1）短期贷款 Short-term Loans,（2）中长期贷款 Mid & Long-term Loans,（3）票据融资 Paper Financing,（4）融资租赁 Financial Leases,（5）各项垫款 Total Advances,3.非银行业金融机构贷款 Loans to Non-banking Financial Institutions,（二）境外贷款 Overseas Loans,二、债券投资 Portfolio Investments,三、股权及其他投资 Shares and Other Investments,四、在国际金融机构资产 Assets with International Financial Institutions,资金运用总计 Total Funds Uses
2022-01-31,242597624000000.03,239072075999999.97,108720903000000.0,37098449000000.0,71622453000000.0,71581339000000.0,24833802000000.0,46747536000000.0,30619752000000.0,5664515000000.0,22485568000000.0,3525549000000.0,12776627000000.0,537000000.0,19389740000000.0,274764527999999.97,202585605000000.0,198316910000000.0,71948447000000.0,17423174000000.0,9268831000000.0,8154342999999.999,54525273000000.0,46086559000000.0,8438714000000.0,126047951000000.0,35433987000000.0,77279679000000.0,10030107000000.0,3028718000000.0,275460000000.0,320512000000.0,4268694999999.9995,52622252000000.0,19142786000000.0,413885000000.00006,274764527999999.97
2022-02-28,245270825000000.0,241696792000000.0,108422910000000.02,34969271000000.004,73453639000000.0,71830373000000.0,25528235000000.0,46302139000000.0,31296771000000.004,6264485000000.0,23882253000000.0,3574033000000.0,12678177000000.0,534999999.99999994,18476517000000.0,276426054999999.97,203927833000000.0,199428720000000.0,71611409000000.0,17132010999999.998,8981434000000.0,8150578000000.0,54479398000000.0,46023974000000.0,8455424000000.001,127320939999999.98,35880612000000.0,77781750000000.0,10335352000000.0,3045370000000.0,277857000000.0,496370000000.0,4499113000000.0,53013157999999.99,19073457000000.0,411606000000.00006,276426054999999.97
2022-03-31,249738104999999.97,246285708000000.0,111129878000000.0,35572961000000.0,75556917000000.0,74485743000000.0,26815607000000.0,47670135000000.0,32001388000000.0,5422080000000.0,23246619000000.0,3452397000000.0,12647539000000.0,537000000.0,17383232000000.0,279769412000000.0,206998432000000.0,202650416000000.0,72365311000000.0,17516825000000.0,9068247000000.0,8448578000000.0,54848486000000.0,46192145000000.0,8656341000000.0,129833921000000.0,36719477000000.0,79138645000000.0,10654009000000.0,3047865000000.0,273925000000.0,451184000000.0,4348015000000.0,53770802000000.0,18590642000000.0,409537000000.0,279769412000000.0
2022-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
